casenew	weighta	P550tpr	P344pr	P425r	A172	A093r	A094r	A121r	SexHRP	A049r	G018r	G019r	Gorx	weightar	maininc	income	expenditure	hhsize
14527	4.04731656452423	305.837662789637	384.244	2	1	4	5	3	1	2	2	1	4	.775630318415559	1	384.243988037109	305.837677001953	2
14526	5.59725318551842	334.565635796877	582.0245	2	2	4	5	3	2	1	1	1	8	1.07266115741715	1	582.024475097656	334.565643310547	1
14526	5.93911309512639	136.054684158091	474.79	1	1	4	2	3	1	2	2	1	3	1.13817540773967	0	474.790008544922	136.0546875	2
14521	4.17859732641029	291.744942283154	379.174	2	1	4	5	3	1	2	2	1	9	.800789047049747	1	379.174011230469	291.744934082031	2
14519	5.32378527242258	121.463846153846	120.892	2	1	4	5	1	2	1	1	1	8	1.02025359276798	1	120.891998291016	121.463844299316	1
14507	4.68473664933294	477.382730640959	318.77	2	1	4	3	2	2	4	2	3	8	.897785908536238	1	318.769989013672	477.382720947266	4
14506	5.87595500018811	395.651348011216	497	1	1	1	1	2	1	1	1	1	8	1.12607175028997	0	497	395.651336669922	1
14499	6.16190694138709	514.724655042958	1184.99	1	1	1	1	3	1	2	2	1	8	1.18087176201819	0	1184.98999023438	514.724670410156	2
14489	4.03212007751852	324.455747725102	299.39	2	1	1	2	1	2	2	1	2	8	.772718053988717	1	299.390014648438	324.455749511719	2
14488	4.32138534396394	83.185	159.55	2	2	4	5	2	2	1	1	1	2	.828153033472708	1	159.550003051758	83.1849975585938	1
14484	3.76179465367824	616.388029631681	630.489	2	1	4	5	3	1	2	2	1	9	.720912717977472	1	630.489013671875	616.388000488281	2
14484	5.34751541493219	249.894711422639	290.552	2	1	2	2	3	2	1	1	1	3	1.02480125235856	1	290.552001953125	249.894714355469	1
14482	3.55437228020598	158.11678896313	79.312	2	2	4	5	3	2	1	1	1	9	.681162162512404	1	79.3119964599609	158.116790771484	1
14469	4.27975005292347	272.811054550349	174.89	2	1	4	5	3	2	1	1	1	5	.820174019839304	1	174.889999389648	272.811065673828	1
14468	6.83472506109418	235.392733859074	341.56	1	1	1	2	3	2	2	2	1	4	1.30981105404154	0	341.559997558594	235.392730712891	2
14461	4.05238142815869	177.070473670585	140.59	2	1	4	5	3	2	1	1	1	4	.776600952101089	1	140.589996337891	177.07048034668	1
14460	3.79237051178035	257.521491264451	297.82	2	1	4	5	3	1	1	1	1	6	.726772294854516	1	297.820007324219	257.521484375	1
14458	6.19533133107629	803.403690544964	978.78	1	1	1	1	2	1	3	1	3	8	1.18727723329877	0	978.780029296875	803.403686523438	3
14453	3.18327469388702	287.78596474254	489.24	2	1	4	5	3	1	2	2	1	6	.610044785245017	1	489.239990234375	287.785949707031	2
14450	6.1977012184993	326.5083774953	577.37	1	1	1	2	1	1	2	2	1	8	1.18773140003053	0	577.369995117188	326.508392333984	2
14449	5.39374002906541	611.551389111015	521.785	1	1	1	1	3	2	3	3	1	7	1.03365976678588	0	521.784973144531	611.551391601563	3
14446	3.57863290280982	275.161866500837	384.66	1	1	1	2	2	2	1	1	1	8	.685811483645354	0	384.660003662109	275.161865234375	1
14446	7.19888023004316	213.998052938737	169.212	2	1	4	5	1	2	1	1	1	1	1.37959798203238	1	169.212005615234	213.998046875	1
14446	4.04589192572824	562.150051962445	662.152	2	1	4	5	3	2	1	1	1	8	.775357299731365	1	662.151977539063	562.150024414063	1
14444	3.97117495293802	257.783076923077	306.457	2	1	4	5	1	2	1	1	1	9	.76103849158468	1	306.457000732422	257.783081054688	1
14444	4.51961461566325	1072.95884163982	396.6495	2	1	4	5	3	2	2	2	1	5	.866141817071971	1	396.649505615234	1072.95886230469	2
14435	4.52456193846174	81.515	153.15	2	1	4	5	1	1	1	1	1	5	.867089925157	1	153.149993896484	81.5149993896484	1
14435	4.76742022385243	206.350063169985	265.192	2	2	4	5	3	2	1	1	1	2	.913631441300939	1	265.191986083984	206.350067138672	1
14435	2.975220941607	208.782203483416	782.104	1	2	1	3	3	1	2	2	1	6	.570173231944003	0	782.10400390625	208.782196044922	2
14431	3.57863290280982	222.355254793407	329.87	1	2	1	3	2	2	1	1	1	8	.685811483645354	0	329.869995117188	222.355255126953	1
14430	7.11810491825604	68.7705564106511	71	2	2	3	4	1	1	1	1	1	11	1.36411814995037	1	71	68.7705535888672	1
14422	4.87743774102691	584.320935246741	1184.99	2	1	2	2	3	1	2	2	1	4	.934715268206227	1	1184.98999023438	584.320922851563	2
14421	4.58970636044159	213.856935570516	407.994	2	2	4	5	3	1	2	2	1	3	.879574243583218	1	407.993988037109	213.85693359375	2
14418	4.27976864656481	198.234347053937	470.205	2	2	4	5	3	1	1	1	1	4	.820177583136546	1	470.204986572266	198.234344482422	1
14417	4.50835332772884	284.56	372.51	2	1	4	5	2	1	2	1	2	6	.863983696695894	1	372.510009765625	284.559997558594	2
14413	4.66982491193069	223.7074274171	435.982	2	1	4	5	3	1	1	1	1	8	.894928213704354	1	435.981994628906	223.707427978516	1
14412	6.01360777893102	172.99	72	2	1	3	3	2	1	1	1	1	5	1.1524516162839	1	72	172.990005493164	1
14412	3.17734980812086	412.589332074685	563.309	2	1	4	5	3	1	2	2	1	8	.608909336371642	1	563.309020996094	412.589324951172	2
14410	3.53006780838789	765.460057329552	708.219	2	1	4	5	3	1	2	2	1	4	.676504438088172	1	708.218994140625	765.460083007813	2
14409	4.45155133594282	381.735081251043	576.97	1	1	1	3	3	1	2	2	1	3	.853098126893471	0	576.969970703125	381.735076904297	2
14405	4.51275774723545	61.69	146	2	2	3	3	1	1	5	2	3	8	.864827762449062	1	146	61.689998626709	5
14402	7.84306091062521	138.569182552028	340	2	1	4	1	1	2	4	2	3	8	1.50304917702329	1	340	138.569183349609	4
14401	6.5069607040534	293.033519586216	383.102	1	1	2	3	1	2	2	2	1	2	1.24699808437044	0	383.101989746094	293.033508300781	2
14397	3.63580868781779	434.06770333156	807.73	1	1	1	1	3	2	2	2	1	4	.696768687418368	0	807.72998046875	434.067718505859	2
14396	3.46286617543631	1175	1184.99	1	1	2	1	3	2	3	3	1	1	.663625874444015	0	1184.98999023438	1175	3
